difficulty,grade,subject,language,question,optionA,optionB,optionC,optionD,correctOption,concept,hint
beginner,6,Physics,English,Which instrument is used to measure length accurately?,Ruler,Thermometer,Spring Balance,Compass,1,Measurement,Used in geometry and length measurements
beginner,6,Physics,English,1 metre is equal to how many centimetres?,10,100,1000,10000,2,Measurement,1 m = 100 cm
beginner,6,Physics,English,Assertion (A): Force can change the direction of motion. Reason (R): A moving ball can be deflected by kicking.,"A and R true, R explains A","A true, R false","A false, R true",Both false,1,Force & Motion,Think about football kick
beginner,6,Physics,English,Which one is not a state of matter?,Solid,Liquid,Gas,Light,4,Matter,Only three common states
beginner,6,Physics,English,Match the following: (a) Spring balance – (b) Thermometer – (c) Magnet – (d) Compass,"(a)Force, (b)Temp, (c)Magnetic force, (d)Direction","(a)Length, (b)Heat, (c)Force, (d)Current","(a)Mass, (b)Temp, (c)Gas, (d)Weight","(a)Direction, (b)Force, (c)Temp, (d)Gas",1,Measurement,Think about uses of instruments
beginner,6,Physics,English,"Odd one out: Kilogram, Metre, Litre, Degree Celsius",Kilogram,Metre,Litre,Degree Celsius,4,Measurement,It measures temperature
beginner,6,Physics,English,How many seconds are there in 1 hour?,60,360,3600,600,3,Measurement,60 × 60
beginner,6,Physics,English,Which of the following is a contact force?,Friction,Magnetic,Gravitational,Electrostatic,1,Force,Acts only when surfaces touch
beginner,6,Physics,English,Which motion is periodic?,Car moving,Swinging pendulum,Walking,Cycling,2,Motion,Repeats at regular intervals
beginner,6,Physics,English,Water changes into ice by,Melting,Freezing,Evaporation,Condensation,2,Matter,Opposite of melting
beginner,6,Physics,English,Assertion: Heat flows from hot body to cold body. Reason: Heat always flows opposite to temperature difference.,"A true, R false","A true, R explains A","A false, R true",Both false,1,Heat,Second part is wrong
beginner,6,Physics,English,Which of the following is an insulator?,Copper,Aluminium,Rubber,Iron,3,Electricity,Used in covering wires
beginner,6,Physics,English,Which of these is a primary cell?,Dry cell,Car battery,Inverter battery,Rechargeable battery,1,Electricity,Cannot be recharged
beginner,6,Physics,English,Match: (a) Melting – (b) Evaporation – (c) Freezing – (d) Condensation,"(a)Solid→Liquid, (b)Liquid→Gas, (c)Liquid→Solid, (d)Gas→Liquid","(a)Liquid→Gas, (b)Solid→Liquid, (c)Liquid→Gas, (d)Gas→Solid","(a)Gas→Solid, (b)Liquid→Solid, (c)Liquid→Gas, (d)Solid→Liquid","(a)Solid→Gas, (b)Liquid→Solid, (c)Gas→Liquid, (d)Liquid→Gas",1,Matter,Phase changes
beginner,6,Physics,English,Which of these is a chemical change?,Melting of ice,Rusting of iron,Boiling water,Dissolving sugar,2,Changes,New substance formed
beginner,6,Physics,English,"Odd one out: Heating, Freezing, Melting, Rusting",Heating,Freezing,Melting,Rusting,4,Changes,Irreversible
beginner,6,Physics,English,Which unit is used to measure temperature?,Newton,Celsius,Litre,Metre,2,Heat,Thermometer scale
beginner,6,Physics,English,Which is a magnetic material?,Plastic,Wood,Iron,Rubber,3,Magnetism,Attracted by magnets
beginner,6,Physics,English,A freely suspended magnet always points towards,East-West,North-South,Up-Down,Random,2,Magnetism,Compass working
beginner,6,Physics,English,Assertion: Earth behaves like a magnet. Reason: It has North and South poles.,"A true, R explains A","A true, R false","A false, R true",Both false,1,Magnetism,Compass works because of Earth
beginner,6,Physics,English,Which of these is a good conductor?,Plastic,Glass,Copper,Rubber,3,Electricity,Used in wires
beginner,6,Physics,English,The SI unit of force is,Kilogram,Newton,Joule,Watt,2,Force,Named after a scientist
beginner,6,Physics,English,How many minutes are there in a day?,60,600,1440,2400,3,Measurement,24 × 60
beginner,6,Physics,English,Match: (a) Compass – (b) Dry cell – (c) Ruler – (d) Thermometer,"(a)Direction, (b)Electricity, (c)Length, (d)Temperature","(a)Length, (b)Force, (c)Heat, (d)Current","(a)Mass, (b)Force, (c)Gas, (d)Weight","(a)Direction, (b)Heat, (c)Gas, (d)Current",1,Measurement,Think of device usage
beginner,6,Physics,English,Which is a reversible change?,Burning of paper,Rusting of iron,Freezing of water,Cooking rice,3,Changes,Ice ↔ water
beginner,6,Physics,English,Which of the following is NOT a source of heat?,Sun,Fire,Electricity,Magnet,4,Heat,Magnet gives no heat
beginner,6,Physics,English,"Odd one out: Magnet, Iron, Nickel, Plastic",Magnet,Iron,Nickel,Plastic,4,Magnetism,Not magnetic
beginner,6,Physics,English,Which is a unit of mass?,Metre,Kilogram,Litre,Joule,2,Measurement,Used to measure weight
beginner,6,Physics,English,"Assertion: Friction is always helpful. Reason: Without friction, we cannot walk.","A true, R explains A","A true, R false","A false, R true",Both false,3,Force,Sometimes friction is harmful
beginner,6,Physics,English,The process of water changing into vapour is,Condensation,Freezing,Evaporation,Melting,3,Matter,Happens when drying clothes
beginner,6,Physics,English,Which of these is a man-made source of heat?,Sun,Candle,Volcano,Stars,2,Heat,Not natural
beginner,6,Physics,English,Which gas is essential for burning?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,1,Heat,Supports combustion
beginner,6,Physics,English,Match: (a) North pole – (b) South pole – (c) Repulsion – (d) Attraction,"(a)Repels N, (b)Repels S, (c)Like poles, (d)Unlike poles","(a)Like poles, (b)Unlike poles, (c)North-South, (d)Magnet–Iron","(a)North–South, (b)South–North, (c)Attraction, (d)Repulsion","(a)Random, (b)Random, (c)Opposite, (d)Like",1,Magnetism,Like poles repel
beginner,6,Physics,English,Which of these is a physical change?,Burning wood,Melting ice,Rusting iron,Cooking food,2,Changes,No new substance formed
beginner,6,Physics,English,Assertion: Water is called a universal solvent. Reason: It dissolves most substances.,"A true, R explains A","A true, R false","A false, R true",Both false,1,Water,"Think about sugar, salt"
beginner,6,Physics,English,"Odd one out: Oxygen, Nitrogen, Carbon dioxide, Stone",Oxygen,Nitrogen,Carbon dioxide,Stone,4,Matter,Not a gas
beginner,6,Physics,English,What is the boiling point of water?,0°C,50°C,100°C,212°C,3,Heat,Standard value
beginner,6,Physics,English,SI unit of time is,Second,Minute,Hour,Day,1,Measurement,Smallest standard unit
beginner,6,Physics,English,Which of these is NOT an environmental problem?,Pollution,Deforestation,Magnetism,Global warming,3,Environment,Physics property
beginner,6,Physics,English,Which of these changes is irreversible?,Freezing,Melting,Evaporation,Burning,4,Changes,Cannot be undone
