id,level,standard,subject,Language,question,option1,option2,option3,option4,correct option,concept,hint
1,beg,6,phy,english,Which instrument is used to measure length accurately?,Ruler,Thermometer,Spring Balance,Compass,1,Measurement,Used in geometry and length measurements
2,beg,6,phy,english,1 metre is equal to how many centimetres?,10,100,1000,10000,2,Measurement,1 m = 100 cm
3,beg,6,phy,english,Assertion (A): Force can change the direction of motion. Reason (R): A moving ball can be deflected by kicking.,"A and R true, R explains A","A true, R false","A false, R true",Both false,1,Force & Motion,Think about football kick
4,beg,6,phy,english,Which one is not a state of matter?,Solid,Liquid,Gas,Light,4,Matter,Only three common states
5,beg,6,phy,english,Match the following: (a) Spring balance – (b) Thermometer – (c) Magnet – (d) Compass,"(a)Force, (b)Temp, (c)Magnetic force, (d)Direction","(a)Length, (b)Heat, (c)Force, (d)Current","(a)Mass, (b)Temp, (c)Gas, (d)Weight","(a)Direction, (b)Force, (c)Temp, (d)Gas",1,Measurement,Think about uses of instruments
6,beg,6,phy,english,"Odd one out: Kilogram, Metre, Litre, Degree Celsius",Kilogram,Metre,Litre,Degree Celsius,4,Measurement,It measures temperature
7,beg,6,phy,english,How many seconds are there in 1 hour?,60,360,3600,600,3,Measurement,60 × 60
8,beg,6,phy,english,Which of the following is a contact force?,Friction,Magnetic,Gravitational,Electrostatic,1,Force,Acts only when surfaces touch
9,beg,6,phy,english,Which motion is periodic?,Car moving,Swinging pendulum,Walking,Cycling,2,Motion,Repeats at regular intervals
10,beg,6,phy,english,Water changes into ice by,Melting,Freezing,Evaporation,Condensation,2,Matter,Opposite of melting
11,beg,6,phy,english,Assertion: Heat flows from hot body to cold body. Reason: Heat always flows opposite to temperature difference.,"A true, R false","A true, R explains A","A false, R true",Both false,1,Heat,Second part is wrong
12,beg,6,phy,english,Which of the following is an insulator?,Copper,Aluminium,Rubber,Iron,3,Electricity,Used in covering wires
13,beg,6,phy,english,Which of these is a primary cell?,Dry cell,Car battery,Inverter battery,Rechargeable battery,1,Electricity,Cannot be recharged
14,beg,6,phy,english,Match: (a) Melting – (b) Evaporation – (c) Freezing – (d) Condensation,"(a)Solid→Liquid, (b)Liquid→Gas, (c)Liquid→Solid, (d)Gas→Liquid","(a)Liquid→Gas, (b)Solid→Liquid, (c)Liquid→Gas, (d)Gas→Solid","(a)Gas→Solid, (b)Liquid→Solid, (c)Liquid→Gas, (d)Solid→Liquid","(a)Solid→Gas, (b)Liquid→Solid, (c)Gas→Liquid, (d)Liquid→Gas",1,Matter,Phase changes
15,beg,6,phy,english,Which of these is a chemical change?,Melting of ice,Rusting of iron,Boiling water,Dissolving sugar,2,Changes,New substance formed
16,beg,6,phy,english,"Odd one out: Heating, Freezing, Melting, Rusting",Heating,Freezing,Melting,Rusting,4,Changes,Irreversible
17,beg,6,phy,english,Which unit is used to measure temperature?,Newton,Celsius,Litre,Metre,2,Heat,Thermometer scale
18,beg,6,phy,english,Which is a magnetic material?,Plastic,Wood,Iron,Rubber,3,Magnetism,Attracted by magnets
19,beg,6,phy,english,A freely suspended magnet always points towards,East-West,North-South,Up-Down,Random,2,Magnetism,Compass working
20,beg,6,phy,english,Assertion: Earth behaves like a magnet. Reason: It has North and South poles.,"A true, R explains A","A true, R false","A false, R true",Both false,1,Magnetism,Compass works because of Earth
21,beg,6,phy,english,Which of these is a good conductor?,Plastic,Glass,Copper,Rubber,3,Electricity,Used in wires
22,beg,6,phy,english,The SI unit of force is,Kilogram,Newton,Joule,Watt,2,Force,Named after a scientist
23,beg,6,phy,english,How many minutes are there in a day?,60,600,1440,2400,3,Measurement,24 × 60
24,beg,6,phy,english,Match: (a) Compass – (b) Dry cell – (c) Ruler – (d) Thermometer,"(a)Direction, (b)Electricity, (c)Length, (d)Temperature","(a)Length, (b)Force, (c)Heat, (d)Current","(a)Mass, (b)Force, (c)Gas, (d)Weight","(a)Direction, (b)Heat, (c)Gas, (d)Current",1,Measurement,Think of device usage
25,beg,6,phy,english,Which is a reversible change?,Burning of paper,Rusting of iron,Freezing of water,Cooking rice,3,Changes,Ice ↔ water
26,beg,6,phy,english,Which of the following is NOT a source of heat?,Sun,Fire,Electricity,Magnet,4,Heat,Magnet gives no heat
27,beg,6,phy,english,"Odd one out: Magnet, Iron, Nickel, Plastic",Magnet,Iron,Nickel,Plastic,4,Magnetism,Not magnetic
28,beg,6,phy,english,Which is a unit of mass?,Metre,Kilogram,Litre,Joule,2,Measurement,Used to measure weight
29,beg,6,phy,english,"Assertion: Friction is always helpful. Reason: Without friction, we cannot walk.","A true, R explains A","A true, R false","A false, R true",Both false,3,Force,Sometimes friction is harmful
